year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2015,0.7153,Учреждение Российской академии наук Центр информационных технологий в проектировании РАН,Учреждение,8,50,Московская область,subsidies
2016,20.35561,Учреждение Российской академии наук Центр информационных технологий в проектировании РАН,Учреждение,8,50,Московская область,subsidies
2017,53.9949,Учреждение Российской академии наук Центр информационных технологий в проектировании РАН,Учреждение,8,50,Московская область,subsidies
2016,13.1,"Автономная  некоммерческая организация ""Клуб любителей КВН ""Скворечник""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,13.2,"Автономная  некоммерческая организация ""Клуб любителей КВН ""Скворечник""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,20.3298,"Частное образовательное учреждение высшего образования ""Тольяттинская академия управления""",Учреждение,8,63,Самарская область,subsidies
2015,28.4328,"Частное образовательное учреждение высшего образования ""Тольяттинская академия управления""",Учреждение,8,63,Самарская область,subsidies
2016,33.6559,"Частное образовательное учреждение высшего образования ""Тольяттинская академия управления""",Учреждение,8,63,Самарская область,subsidies
2017,35.4437,"Частное образовательное учреждение высшего образования ""Тольяттинская академия управления""",Учреждение,8,63,Самарская область,subsidies
2017,80,"Волгоградская Городская Общественная организация ""Футбольный клуб ""Олимпия""",Общественная организация,1,34,Волгоградская область,subsidies
2014,17.45,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2015,17.6074,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2016,21.898,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2017,24.4023,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2015,100,"Фонд поддержки гуманитарных наук ""Моя история""",Некоммерческий фонд,6,77,Москва,subsidies
2014,13.2303,"Негосударсвтенное образовательное учрежждение высшего профессионального образования ""Международный институт менеджмента Линк""",Учреждение,8,50,Московская область,subsidies
2014,12,"Союз ""Некоммерческое партнерство высшего образования ""Институт международных социально - гуманитарных связей""","Объединения (союз, ассоциация) юридических лиц",10,77,Москва,subsidies
2014,84.5,"Автономная некоммерческая организация ""Центр социальных инициатив""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,0.67,"Автономная некоммерческая организация ""Новгородское областное телевидение""",Автономная некоммерческая организация,4,53,Новгородская область,subsidies
2015,23.7482,"Автономная некоммерческая образовательная организация высшего образования ""Международный институт компьютерных технологий""",Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2016,32.7956,"Автономная некоммерческая образовательная организация высшего образования ""Международный институт компьютерных технологий""",Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2017,44.0825,"Автономная некоммерческая образовательная организация высшего образования ""Международный институт компьютерных технологий""",Автономная некоммерческая организация,4,36,Воронежская область,subsidies
2015,1.6,Фонд поддержки инновационных проектов в области искусства,Некоммерческий фонд,6,77,Москва,subsidies
2014,11.9,"Общероссийская общественная организация ""Творческий союз художников России""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,32.346,"Общероссийская общественная организация ""Творческий союз художников России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,34.328101350000004,"Общероссийская общественная организация ""Творческий союз художников России""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,1.7,"Общероссийская общественная организация ""Творческий союз художников России""",Общественная организация,1,00,Министерство юстиции,subsidies
2014,3.384,"частное учреждение образовательная организация высшего образования ""Медицинский университет ""Реавиз""",Учреждение,8,63,Самарская область,subsidies
2015,5.9301,"частное учреждение образовательная организация высшего образования ""Медицинский университет ""Реавиз""",Учреждение,8,63,Самарская область,subsidies
2016,11.2178,"частное учреждение образовательная организация высшего образования ""Медицинский университет ""Реавиз""",Учреждение,8,63,Самарская область,subsidies
